date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:41	272/272	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jun%202020%2012:21:41%20GMT	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/robots.txt		(from )
14:21:42	94454/94454	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:21:42%20GMT	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/index.html	(from )
14:21:42	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-5a5ec252b1a80-gzip%22	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/bootstrap.min.css	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/bootstrap.min.css	(from https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/)
14:21:42	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%22ce35-5a5ec252b1a80-gzip%22	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/animate.min.css	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/animate.min.css	(from https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/)
14:21:42	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5a5ec252b1a80-gzip%22	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/magnific-popup.css	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/magnific-popup.css	(from https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/)
14:21:42	3011/3011	---M-Z	200	added ('OK')	text/css	etag:%22bc3-5a5ec252b1a80-gzip%22	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/owl.carousel.min.css	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/owl.carousel.min.css	(from https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/)
14:21:43	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5a5ec252b1a80-gzip%22	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/font-awesome.min.css	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/font-awesome.min.css	(from https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/)
14:21:43	13900/13900	---M-Z	200	added ('OK')	text/css	etag:%22364c-5a5ec252b1a80-gzip%22	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/jquery.dataTables.min.css	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/jquery.dataTables.min.css	(from https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/)
14:21:43	15196/15196	---M-Z	200	added ('OK')	text/css	etag:%223b5c-5a5ec252b1a80-gzip%22	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/select2.min.css	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/select2.min.css	(from https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/)
14:21:43	16792/16792	---M-Z	200	added ('OK')	text/css	etag:%224198-5a5ec252b1a80-gzip%22	https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/select2-bootstrap.min.css	C:/testcovidGITPOD/testCovidGITPOD/8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/css/select2-bootstrap.min.css	(from https://8080-ec7546bd-98c7-452d-92ef-497a6e05c7eb.ws-eu01.gitpod.io/)
